"JASID","LGC","Site_no","SiteName_furigana","SiteName_original","Address","Chronology","SiteType","ArchaeologicalFeatures","MajorArtefacts","Lon","Lat","X","Y"
13115002100,13115,"21","","杉並区No.21遺跡","杉並区 清水三丁目","[縄文時代]","包蔵地","","縄文土器",139.6195512,35.71796159,-19341.8650157117,-31269.7683847987
13115002200,13115,"22","","杉並区No.22遺跡","杉並区 本天沼二丁目","[古墳時代]","包蔵地","","土師器",139.6255937,35.71623336,-18795.5769616344,-31462.6772570943
13115002300,13115,"23","","杉並区No.23遺跡","杉並区 本天沼三丁目","[縄文時代（前期）][弥生時代]","包蔵地","","縄文土器　打斧　石錘　けつ状土製品?",139.6214739,35.71361306,-19168.9505133069,-31752.5840856815
13115002400,13115,"24","むかいまちいせき","向井町遺跡","杉並区 本天沼三丁目","[縄文時代（後期）][古墳時代]","集落","[縄文時代]住居　[古墳時代]住居","縄文土器　打斧　石皿　土錘　土偶　土師器",139.6233278,35.71634486,-19000.561728259,-31449.8708284935
13115002500,13115,"25","こやまいせき","小山遺跡","杉並区 阿佐谷北五丁目","[縄文時代（後期）][古墳時代][奈良時代]","包蔵地","","縄文土器　打斧　磨斧　石鏃　土師器",139.639848,35.70806899,-17507.6800961856,-32371.0912796356
13115002600,13115,"26","こうみょういんみなみいせき","光明院南遺跡","杉並区 上荻二丁目　南荻窪四丁目","[旧石器時代][縄文時代（草創期～後期）][近世]","集落","[旧石器時代]ブロック　礫群　[縄文時代]住居 屋外埋甕　焼土跡　土坑　遺物集中部　集石　[近世]溝状遺構","[旧]剥片　彫器　ナイフ形石器　スクレイパー　尖頭器　石核　[縄]縄文土器　土器片鐘　石鏃　打製石斧　磨製石斧　石皿　磨石　石棒　軽石製石製品　有舌尖頭器　楔形石器　敲石　スタンプ形石器　スクレイパー　凹石　[近]磁器　陶器",139.614063,35.70405415,-19841.8554129275,-32811.6034848524
13115002700,13115,"27","なかたいせき","中田遺跡","杉並区 上荻三丁目","[縄文時代（中期）]","集落","[縄文時代]住居","縄文土器　打斧　石鏃",139.6084359,35.70675643,-20350.3678648822,-32510.6533109117
13115002800,13115,"28","","杉並区No.28遺跡","杉並区 上荻三丁目","[縄文時代（中期）]","包蔵地","","縄文土器",139.6082986,35.70845699,-20362.3593097404,-32321.9600039705
13115002900,13115,"29","","杉並区No.29遺跡","杉並区 上荻四丁目","[縄文時代（前期～後期）]","包蔵地","","縄文土器　打斧　磨斧　石鏃　石錐　石錘",139.6063539,35.71060354,-20537.775920964,-32083.4105856399
13115003000,13115,"30","","杉並区No.30遺跡","杉並区 西荻北一丁目","[縄文時代]","包蔵地","","縄文土器",139.6079896,35.70497219,-20391.2067974242,-32708.5091731446
13115003100,13115,"31","まるやまいせき","丸山遺跡","杉並区 西荻北二丁目","[縄文時代][平安時代]","集落","[縄文時代]土杭　[平安時代]住居跡","縄文土器　石器　土師器",139.6019471,35.70675643,-20937.5230525556,-32509.288789651
13115003200,13115,"32","","杉並区No.32遺跡","杉並区 南荻窪三丁目","[縄文時代]","包蔵地","","縄文土器",139.6101148,35.70380323,-20199.1933941377,-32838.6360919519
13115003300,13115,"33","","杉並区No.33遺跡","杉並区 南荻窪四丁目","[縄文時代]","包蔵地","","縄文土器",139.616638,35.70095949,-19609.6001011039,-33155.450647269
13115003400,13115,"34","","杉並区No.34遺跡","杉並区 荻窪一丁目","[縄文時代（後期）]","集落","[縄文時代]住居","縄文土器　打斧　凹石",139.6237994,35.69301261,-18963.4176728817,-34038.5043455724
13115003500,13115,"35","にしだしょうがっこうきたいせき","西田小学校北遺跡","杉並区 荻窪一丁目","[縄文時代（中期）][弥生時代]","集落","[縄文時代]住居跡　土坑　溝状遺構　[弥生時代]住居","縄文土器　打斧　弥生土器　土製品　石鏃",139.6228381,35.69525952,-19049.883849739,-33789.0405047912
13115003700,13115,"37","かわなみいせき","川南遺跡","杉並区 荻窪二丁目","[旧石器時代][縄文時代][古墳時代][奈良時代][平安時代]","包蔵地","","縄文土器　土師器　ナイフ形石器　掻器　石核　剥片",139.6222201,35.69617963,-19105.5936608443,-33686.8411193801
13115003800,13115,"38","","杉並区No.38遺跡","杉並区 荻窪三丁目","[縄文時代（中期）]","包蔵地","","縄文土器　打斧　石槍　石鏃　石皿",139.6242457,35.69969269,-18921.4481453269,-33297.4854986444
13115003900,13115,"39","","杉並区No.39遺跡","杉並区 荻窪四丁目","[縄文時代（中期）]","包蔵地","","縄文土器　打斧",139.6213415,35.70101525,-19183.9481778535,-33150.1936940838
13115004000,13115,"40","","杉並区No.40遺跡","杉並区 荻窪五丁目","[縄文時代（中期～後期）]","集落","[縄文時代]住居","縄文土器",139.6169126,35.70252077,-19584.3686351799,-32982.2929306996
13115004100,13115,"41","","杉並区No.41遺跡","杉並区 成田西一丁目","[縄文時代]","包蔵地","","縄文土器",139.6327159,35.68585283,-18158.070520647,-34834.5125518967
13115004200,13115,"42","","杉並区No.42遺跡","杉並区 成田西一丁目","[縄文時代（早期）]","包蔵地","","縄文土器",139.631274,35.68797211,-18288.0947035761,-34599.1271559988
13115004300,13115,"43","","杉並区No.43遺跡","杉並区 成田西二丁目","[古墳時代]","包蔵地","","土師器",139.6271064,35.69016785,-18664.7870871672,-34354.7424928923
13115004400,13115,"44","くまのじんじゃみなみいせき","熊野神社南遺跡","杉並区 成田西三丁目","[縄文時代（早期・中期）][古墳時代][近世]","集落","[古墳時代]住居[近世]溝　ピット","[縄文時代]縄文土器　打斧[古墳時代]土師器　鉄製品[近世]土器",139.6317909,35.69291291,-18240.185885438,-34051.0790801976
13115004500,13115,"45","くまのじんじゃいせき","熊野神社遺跡","杉並区 成田西三丁目","[縄文時代（早期～後期）][弥生時代][古墳時代]","集落","[縄文時代]住居　[古墳時代]住居","縄文土器　打斧　磨斧　石槍　石鏃　土師器",139.6323745,35.69408399,-18187.1024181379,-33921.2648326785
13115004600,13115,"46","やといせき","谷戸遺跡","杉並区 成田西三丁目","[縄文時代（前期～後期）][古墳時代]","集落","[縄文時代]住居","縄文土器　打斧　磨斧　石匙　石錐　石錘　石皿　凹石　土師器　硬玉製管玉",139.6241005,35.69135144,-18936.5598803672,-34222.8567137649
13115004700,13115,"47","やくらだいみなみいせき","矢倉台南遺跡","杉並区 成田西四丁目　 荻窪一丁目","[縄文時代（草創期～後期）][弥生時代][古墳時代][中世]","集落","[古墳時代]住居　[縄文時代]住居跡　[中世]溝状遺構","縄文土器　打斧　石鏃　石匙　石皿　弥生土器　土錘　土師器　有舌尖頭器　翡翠製石製品　須恵器　陶器　礫石器",139.626538,35.69360999,-18715.4266622524,-33972.7549193824
13115004800,13115,"48","やくらだいいせき","矢倉台遺跡","杉並区 成田西四丁目","[縄文時代（中期）]［古墳時代］","包蔵地　集落","[古墳時代]住居　環濠　ピット","縄文土器　打斧　土師器　土錘　支脚",139.6295329,35.69541052,-18443.9667704387,-33773.5663018816
13115004900,13115,"49","なりむねしらはたいせき","成宗白幡遺跡","杉並区 成田東一丁目　 成田東二丁目","[縄文時代（早期～中期）][古墳時代]","集落","[古墳時代]住居","縄文土器　打斧　土師器",139.6368015,35.68738653,-17787.9381206369,-34665.1079430363
13115005000,13115,"50","","杉並区No.50遺跡","杉並区 成田東二丁目","[縄文時代（中期）][弥生時代]","包蔵地","","縄文土器　弥生土器",139.6340892,35.68802788,-18033.2821842282,-34593.460455567
13115005100,13115,"51","","杉並区No.51遺跡","杉並区 成田東二丁目","[縄文時代（前期）]","集落","[縄文時代]住居","縄文土器",139.6353938,35.68752595,-17915.3169052852,-34649.384500249
13115005200,13115,"52","","杉並区No.52古墳","杉並区 大宮一丁目","[奈良時代?]","横穴墓","","",139.6435992,35.6828969,-17173.6451836323,-35164.4075549075
13115005300,13115,"53","どうかくいせき","道角遺跡","杉並区 大宮二丁目　成田西一丁目","[縄文時代（草創期～中期）][弥生時代（後期）][近世]","集落","[弥生時代]住居跡　[近世]溝状道構","縄文土器　石斧　尖頭器　スクレイパー",139.6380031,35.68479317,-17679.7543159465,-34953.0382356431
13115005400,13115,"54","おおみや（わだぼり）いせき","大宮(和田堀)遺跡","杉並区 大宮二丁目","[旧石器時代][縄文時代（草創期～後期）][弥生時代]","集落（方形周溝墓）","[弥生時代]方形周溝墓　都指定史跡-大宮遺跡　（昭和54.3.31）","縄文土器　礫器　石鏃　石匙　弥生土器　勾玉　ガラス小玉　土師器",139.6395824,35.68339886,-17537.1134706184,-35108.0092657739
13115005600,13115,"56","","杉並区No.56遺跡","杉並区 大宮二丁目","[旧石器時代][古墳時代]","集落","[旧石器時代]礫群","土師器",139.6425349,35.6828969,-17269.9796279083,-35164.2209541207
13115005700,13115,"57","","杉並区No.57遺跡","杉並区 大宮二丁目","[奈良時代?]","横穴墓","","刀子　人骨",139.6401317,35.68309211,-17487.461172426,-35142.1387329478
13115005800,13115,"58","","杉並区No.58古墳","杉並区 松ノ木一丁目","[奈良時代]","横穴墓","","",139.6415736,35.68476529,-17356.586422894,-34956.7681139844
13115005900,13115,"59","まつのきいせき","松ノ木遺跡","杉並区 松ノ木一丁目","[縄文時代（中期）][弥生時代][古墳時代]","集落","[不]住居","縄文土器　石斧　石鏃　凹石　土錘　土偶　炭化米　炭化材　弥生土器　土師器　支脚",139.6411273,35.68641055,-17396.6248575652,-34774.1602474665
13115006000,13115,"60","ほうなんちょうみねいせきぐん（ほうなんみね・みねみなみ・ほうなん・みね・かまでらひがし・かまでら）いせき","方南町峰遺跡群（方南峰・峰南・方南・峯・釜寺東・釜寺）遺跡","杉並区 堀ノ内一丁目　 方南二丁目","[旧石器時代][縄文時代（早期～後期）][弥生時代（後期）][古墳時代][奈良時代][近世]","集落","[旧石器時代]ブロック　礫群　[縄文時代]住居　炉穴　遺物集中部　炉跡　[弥生時代]住居　環濠　[古墳時代]住居　[近世]溝状遺構　地下室　地下坑","ナイフ形石器　彫器　スクレイパー　敲石　石核　剥片　縄文土器　土製蓋　ミニチュア土器　土偶　打製石斧　磨製石斧石鏃　石錘　石皿　磨石　凹石　石棒　炭化材　炭化米　弥生土器　ガラス小玉　砥石　土師器　須恵器　支脚　紡錘車　鉄環　磁器　陶器",139.6573439,35.68350464,-15929.4316844661,-35099.2995724182
13115006100,13115,"61","","杉並区No.61遺跡","杉並区 堀ノ内一丁目","[古墳時代]","包蔵地","","土師器",139.6498653,35.68686371,-16605.6510927153,-34725.398151125
13115006200,13115,"62","せいびだいいせき","済美台遺跡","杉並区 大宮一丁目　 堀ノ内一丁目","[旧石器時代][縄文時代（草創期～後期）][弥生時代][古墳時代][奈良時代]","集落","[旧石器時代]礫群　[縄文時代]住居　[弥生時代]周溝(方形周溝墓?)　杉並125参照","剥片　縄文土器　打斧　石鏃　石槍　石匙　土錘　土偶　弥生土器　滑石製勾玉　土師器　須恵器　炭化物",139.6471873,35.68778392,-16847.8430646685,-34622.8518538293
13115006300,13115,"63","むこうやまいせき","向山遺跡","杉並区 堀ノ内二丁目","[縄文時代（中期）][平安時代][中世][近世]","集落跡","[古墳時代]住居　[平安時代]住居　[近世]竪穴状遺構　柱穴列　溝状遺構","縄文土器　土師器　須恵器　支脚　紡錘車　陶器　カワラケ　板碑　陶磁器　抜型　人形　泥面子　土笛　ままごと道具",139.6521597,35.68565187,-16398.2332268797,-34860.2279323574
13115006400,13115,"64","じょうづかくぼいせき","定塚久保遺跡","杉並区 堀ノ内二丁目","[旧石器時代][縄文時代（草創期～早期）][縄文時代（中期）][近世]","包蔵地","[旧石器時代]礫群　[縄文時代]石器集中部　土坑　[近世]焼土集中部　溝状遺構","[旧]剥片　[縄]縄文土器　槍先形尖頭器　[近]陶磁器",139.654872,35.68802212,-16152.2617862349,-34597.7164225917
13115006500,13115,"65","ほりのうちなかどおりいせき","堀ノ内中通遺跡","杉並区 堀ノ内二丁目","[縄文時代（中期）][弥生時代][古墳時代][奈良時代][平安時代]","包蔵地","[縄文時代]住居","縄文土器　土師器　須恵器",139.6512671,35.68721345,-16478.7024208467,-34686.8332906577
13115006600,13115,"66","","杉並区No.66遺跡","杉並区 堀ノ内二丁目","[縄文時代（後期）][古墳時代]","包蔵地","","縄文土器　打斧　土師器",139.6469069,35.69053171,-16872.6430831349,-34317.9574574307
13115006700,13115,"67","","杉並区No.67遺跡","杉並区 和田一丁目","[縄文時代（後期）][弥生時代]","包蔵地","","縄文土器　弥生土器",139.6606228,35.69093941,-15631.1960141331,-34274.9960285457
13115006800,13115,"68","ほんむらはらいせきしーちてん","本村原遺跡C地点","杉並区 和田一丁目","[縄文時代（早期～後期）][弥生時代（後期）][古墳時代][平安時代][近世]","包蔵地・集落","[縄文時代]陥穴　[弥生時代]住居　[平安時代]住居　[近世]土坑　溝　植栽跡　段切り状遺構","縄文土器　弥生土器　埴輪　土師器　須恵器　陶磁器　炉器　土器　瓦　土製品　石製品　金属製品　銭貨　ガラス製品",139.662614,35.69361621,-15450.4656930856,-33978.3405950303
13115007000,13115,"70","","杉並区No.70遺跡","杉並区 和田二丁目","[古墳時代][奈良時代]","横穴墓","1基","人骨",139.6559706,35.68818942,-16052.7955630049,-34579.3358934623
13115007100,13115,"71","わだちゅうがっこういせき","和田中学校遺跡","杉並区 和田二丁目","[縄文時代（中期）][古墳時代]","包蔵地","","縄文土器　石鏃　土師器",139.6595412,35.68958365,-15729.3526705571,-34425.234521492
13115007200,13115,"72","ほんじんやまいせき","本陣山遺跡","杉並区 堀ノ内二丁目　和田二丁目","[縄文時代（早期～中期）][弥生時代（後期）][古墳時代][中世][近世]","集落","[縄文時代]炉穴　集石　土坑　ピット　[弥生時代]住居跡　[中世][近世]掘立柱建物","（旧石器）敲石　剥片類　（縄文）土器　土製円板　（弥生）土器　ガラス小玉　（古墳時代以降）土師器　砥石　鉄環　カワラケ　陶磁器　鉄器など",139.653824,35.685158,-16247.6955031622,-34915.2955712874
13115007600,13115,"76","むかいのはらいせき","向ノ原遺跡","杉並区 久我山二丁目","[旧石器時代][縄文時代（早期～中期）][中世][近世][近代]","集落","[旧石器時代]ユニット　礫群　[縄文時代]集石　炉穴　土坑","ナイフ形石器　尖頭器　角錐状石器　台形様石器　掻器　彫器　縄文土器　打斧　磨斧　局部磨斧　礫器　石槍　石鏃　掻器　彫器　石錘　石皿　磨石　スタンプ形石器　石核",139.6043231,35.68376139,-20728.4743891057,-35060.921352851
13115007700,13115,"77","りっきょうじょがくいんない（なかやしき）いせき","立教女学院内（中屋敷）遺跡","杉並区 久我山四丁目","[縄文時代（中期～後期）]","包蔵地","","縄文土器　石斧　石鏃　石錘　石皿　敲石　けつ状耳飾　石棒",139.5889614,35.69409793,-22116.0619693726,-33910.8094891486
13115007800,13115,"78","なかふくろ（やまなか）いせき","中袋（山中）遺跡","杉並区 高井戸西一丁目","[縄文時代（中期～晩期）][古墳時代][中世]","集落","[縄文時代]住居跡　土坑　[古墳時代]住居跡　[中世]地下式土坑","縄文土器　石斧　石鏃　石製品　土製品　土師器",139.6136958,35.68203241,-19880.547822173,-35254.6758340647
13115007900,13115,"79","","杉並区No.79遺跡","杉並区 高井戸西一丁目","[縄文時代（早期）]","包蔵地","","縄文土器",139.6076877,35.68200453,-20424.3805388451,-35256.5362903596
13115008000,13115,"80","","杉並区No.80遺跡","杉並区 高井戸西二丁目","[縄文時代（中期）][古墳時代]","包蔵地","","縄文土器　土師器",139.6100223,35.6847374,-20212.3738996268,-34953.8282717382
13115008100,13115,"81","どうのしたいせき","堂の下遺跡","杉並区 高井戸東一丁目","[旧石器時代][縄文時代（早期～中期）][弥生時代（後期）][近世]","包蔵地・集落","[旧石器時代]礫群　ブロック　[縄文時代]竪穴式遺構　炉穴　ピット　焼土跡　集石　集石土坑　陥し穴　土坑　[弥生時代]方形周溝墓　[近世]溝　炭焼窯　地下室","ナイフ型石器　角錐状石器　スクレイパー　彫器　楔形石器　石斧　敲石　石核　剥片　削石　縄文土器　石鏃　有舌尖頭器　打製石斧　磨製石斧　　礫斧　磨石　スタンプ型石器　石皿　弥生土器　陶磁器",139.6235149,35.67968988,-18992.3232532764,-35516.5042319341
13115008200,13115,"82","","杉並区No.82遺跡","杉並区 高井戸東二丁目","[縄文時代（中期）]","包蔵地","","縄文土器",139.6167514,35.68194875,-19603.9894387858,-35264.5713880453
13115008300,13115,"83","じゃばみいせき","蛇場美遺跡","杉並区 下高戸三丁目","[旧石器時代][縄文時代（草創期～後期）][中世][近世]","包蔵地","[縄文時代]炉穴　[中世][近世]溝状遺構","ナイフ形石器　角錐状石器　台形様石器　縄文土器　打斧　礫器　石槍　石鏃　掻器　削器　楔形石器　磨石　スタンプ形石器　抉入磨石　敲石　石盤　陶磁器　カワラケ",139.6348998,35.67259893,-17963.3736521046,-36305.33072018
13115008400,13115,"84","","杉並区No.84遺跡","杉並区 下高井戸三丁目","[縄文時代（中期～後期）][古墳時代]","包蔵地","","縄文土器　土師器",139.6317755,35.67527635,-18245.5947066091,-36007.7164226429
13115008500,13115,"85","しもたかいどつかやまいせき","下高井戸塚山遺跡","杉並区 下高井戸四丁目　下高井戸五丁目","[旧石器時代][縄文時代（早期～後期）]","集落","[縄文時代]住居　集石　炉　土坑　ピット群","ナイフ形石器　局部磨製石器　掻器　縄文土器　打斧　磨石　土錘",139.6248919,35.67479842,-18868.8313414634,-36059.4387727117
13115008600,13115,"86","","杉並区No.86遺跡","杉並区 浜田山一丁目","[縄文時代（中期～後期）]","包蔵地","","縄文土器",139.6303164,35.67677855,-18377.3324194006,-35840.7871876825
13115008700,13115,"87","","杉並区No.87遺跡","杉並区 浜田山一丁目","[縄文時代（中期）]","包蔵地","","縄文土器　打斧　石棒",139.6332346,35.6783682,-18112.813945429,-35664.9699511928
13115008900,13115,"89","めいじだいがくいずみこうちいせき","明治大学和泉校地遺跡","杉並区 永福一丁目","[旧石器時代][縄文時代（中期）]","集落","[旧石器時代]ブロック　礫群","ナイフ形石器　尖頭器　削器　敲石　石核　縄文土器",139.6477824,35.67085512,-16797.5287173925,-36501.0714055102
13115009000,13115,"90","","杉並区No.90遺跡","杉並区 永福二丁目","[古墳時代]","包蔵地","","土師器　須恵器",139.6397921,35.67290192,-17520.4270386009,-36272.5998247937
13115009100,13115,"91","","杉並区No.91遺跡","杉並区 和泉二丁目","[縄文時代（中期）][奈良時代][平安時代]","包蔵地","","縄文土器　土師器",139.6498252,35.67471992,-16611.7973694061,-36072.649938694
13115009200,13115,"92","ねがわらいせき","根河原遺跡","杉並区 和泉三丁目","[旧石器時代][縄文時代（早期・後期）][古墳時代]","集落","[旧石器時代]ブロック　[古墳時代]住居　[縄文時代]土坑　炉跡","縄文土器　打斧　石棒　土師器　鋸歯　縁石器　尖頭状石器　剥片　石斧",139.647891,35.67707286,-16786.395373807,-35811.2810783533
13115009300,13115,"93","","杉並区No.93遺跡","杉並区 和泉四丁目","[古墳時代]","集落","[古墳時代]住居","土師器",139.6521941,35.67940522,-16396.3976155617,-35553.2508308951
13115009400,13115,"94","はまだやまいせき","浜田山遺跡","杉並区 浜田山三丁目","[縄文時代][近世]","包蔵地","[近世]溝状遺構","縄文土器　陶器",139.6318233,35.6807496,-18240.0221684873,-35400.5110714618
13115009500,13115,"95","","杉並区No.95遺跡","杉並区 堀ノ内一丁目","[旧石器時代]","包蔵地","","剥片",139.6495906,35.68385205,-16631.1391981652,-35059.4720614909
13115010100,13115,"101","ひがしはらいせき","東原遺跡","杉並区 久我山五丁目","[旧石器時代][縄文時代（草創期～後期）][近世]","集落","[旧石器時代]ユニット　礫群　[縄文時代]住居　炉穴　土坑","ナイフ形石器　尖頭器　掻器　彫器　石核　縄文土器　有舌尖頭器　石鏃",139.6058681,35.68638266,-20587.9576170669,-34770.4364172031
13115010200,13115,"102","","杉並区No.102遺跡","杉並区 西荻北一丁目","[縄文時代（中期）]","包蔵地","","縄文土器",139.6058953,35.7057528,-20580.5183174546,-32621.4691471824
13115010300,13115,"103","","杉並区No.103遺跡","杉並区 南荻窪三丁目","[縄文時代（中期）]","包蔵地","","縄文土器",139.6091535,35.70299473,-20286.3870276072,-32928.1350496811
13115010400,13115,"104","","杉並区No.104遺跡","杉並区 久我山四丁目","[縄文時代（中期）]","包蔵地","","縄文土器",139.5923946,35.69164422,-21806.0190164143,-34183.7980821644
13115010500,13115,"105","","杉並区No.105遺跡","杉並区 久我山三丁目","[縄文時代（中期）]","包蔵地","","縄文土器",139.5924205,35.68670814,-21805.0182606936,-34731.4247399871
13115010600,13115,"106","","杉並区No.106遺跡","杉並区 高井戸西一丁目","[縄文時代（早期・中期）]","包蔵地","","縄文土器",139.6100909,35.68166988,-20206.9382076454,-35294.1601569053
13115010700,13115,"107","","杉並区No.107遺跡","杉並区 久我山二丁目","[縄文時代（後期）]","包蔵地","","",139.6048038,35.68178143,-20685.4756185975,-35280.6840457427
13115010800,13115,"108","","杉並区No.108遺跡","杉並区 久我山五丁目","[縄文時代（早期・中期）][弥生時代]","包蔵地","","縄文土器　弥生土器",139.6007526,35.68858558,-21050.3853694937,-34524.9548062624
13115011000,13115,"110","たかいどひがしいせき","高井戸東遺跡","杉並区 高井戸西二丁目　 高井戸東三丁目","[旧石器時代][縄文時代（草創期～後期）][古墳時代][中世][近世]","集落","[旧石器時代]ブロック　[縄文時代]陥し穴　[古墳時代]住居　[中世]地下式坑　段切り状遺構　土坑　ピット　溝状遺構","ナイフ形石器　台形石器　スクレイパー　局部磨製石斧　敲石　石棒　剥片　縄文土器　弥生土器　土師器　須恵器　陶器　瓦質土器　瓦",139.6161334,35.68459797,-19659.278106937,-34970.5373096508
13115011100,13115,"111","","杉並区No.111遺跡","杉並区 下高井戸五丁目","[縄文時代（中期・後期）]","包蔵地","","縄文土器",139.6216609,35.67662216,-19160.8770048871,-35856.4837907017
13115011200,13115,"112","","杉並区No.112遺跡","杉並区 高円寺南二丁目","［縄文時代（中期）］[古墳時代][奈良時代][平安時代][近世]","包蔵地","","縄文土器　土師器　陶磁器",139.6531316,35.70027406,-16307.2885816461,-33238.1688985864
13115011500,13115,"115","","杉並区No.115遺跡","杉並区 上井草三丁目","[旧石器時代][縄文時代（中期～後期）][古墳時代]","包蔵地","","ナイフ形石器　縄文土器　土師器",139.5996452,35.72072195,-21142.1273756609,-30959.4200520457
13115011700,13115,"117","","杉並区No.117遺跡","杉並区 久我山五丁目","[縄文時代（中期）]","包蔵地","","縄文土器",139.6040828,35.68719133,-20749.336612789,-34680.3449362311
13115011800,13115,"118","","杉並区No.118遺跡","杉並区 久我山五丁目","[縄文時代（早期）]","包蔵地","","縄文土器",139.607516,35.68535089,-20439.068535359,-34885.2475995456
13115011900,13115,"119","むかいのはらびーいせき","向ノ原B遺跡","杉並区 久我山二丁目","[旧石器時代][縄文時代（草創期～後期）][古墳時代]","集落","[旧石器時代]礫群　[縄文時代]住居　竪穴状遺構　炉穴　土坑　柱穴群","ナイフ形石器　切出形石器　角錐状石器　石核　縄文土器　打斧　礫器　石槍　有舌尖頭器　尖頭状石器　石鏃　掻器　削器　磨石　スタンプ形石器　抉入磨石　凹石　砥石　石盤　土製品",139.6006496,35.68621535,-21060.3306736985,-34787.8917676391
13115012000,13115,"120","","杉並区No.120遺跡","杉並区 久我山三丁目","[古墳時代]","包蔵地","","土師器",139.5967121,35.68603889,-21416.763741167,-34806.617228845
13115012100,13115,"121","にしのはらいせき","西ノ原遺跡","杉並区 久我山四丁目","[旧石器時代][縄文時代（中期）]","集落","[旧石器時代]礫群　[縄文時代]住居跡　土坑","打斧　礫群構成礫　敲石　磨石　石皿　縄文土器",139.5904033,35.69262014,-21985.9729719945,-34075.0830635653
13115012300,13115,"123","おおがいといせき","大ヶ谷戸遺跡","杉並区 荻窪二丁目","[旧石器時代][縄文時代（早期・中期～後期）][近世]","包蔵地・集落","[旧石器時代]ブロック　[縄文時代]住居　集石　土坑　[近世]地下式坑　溝　土坑","細石刃　細石刃核削片　スクレイパー 石核　剥片　縄文土器　土器片鐘　抉状耳飾　石鏃　ノミ状石器　石斧　スタンプ形石器　石皿　敲石　陶磁器　砥石　加工円礫　銭貨",139.6191302,35.69854957,-19384.6542065846,-33423.3083252549
13115012400,13115,"124","まつのききたいせき","松ノ木北遺跡","杉並区 松ノ木一丁目","[縄文時代（中期）][古墳時代][中世]","集落跡","[古墳時代]住居跡[中世]地下式土坑","[縄文時代]縄文土器　打斧[古墳時代]土師器",139.6430156,35.68886443,-17225.1865297735,-34502.2539171011
13115012500,13115,"125","おおみやちゅうがっこういせき","大宮中学校遺跡","杉並区 堀ノ内一丁目","[中世]","地下式横穴","[弥生時代]住居　[中世]地下式土坑","弥生土器　土師器　石臼",139.6480457,35.68683582,-16770.3487073401,-34728.1831653105
13115012700,13115,"127","ぜんぷくじきたはらいせき","善福寺北原遺跡","杉並区 善福寺一丁目","[縄文時代（草創期～後期）][近世]","集落","[縄文時代]竪穴状遺構　土坑　遺物集中部　[近世]溝状遺構","有舌尖頭器　縄文土器　楔形石器　打製石斧　磨石　石皿　剥片",139.595491,35.71149531,-21520.4455543361,-31982.147870122
13115012800,13115,"128","","杉並区No.128遺跡","杉並区 成田西二丁目","[縄文時代（中期）]","包蔵地","","縄文土器　打斧　石鏃",139.6232611,35.69016785,-19012.8105354343,-34354.004875504
13115012900,13115,"129","にっしょうじいせきびーちてん","日性寺遺跡B地点","杉並区 成田西二丁目","[旧石器時代][縄文時代（中期）][弥生時代][古墳時代][近世]","集落","[縄文時代]土坑　[古墳時代]住居　[不]ピット群","掻器　縄文土器　石皿　磨石　弥生土器　土師器　土玉　陶磁器",139.628926,35.68857844,-18500.4690373768,-34531.419720758
13115013000,13115,"130","","杉並区No.130遺跡","杉並区 成田西三丁目","[古墳時代]","包蔵地","","土師器",139.6310012,35.69168604,-18311.9365988955,-34187.0440584094
13115013100,13115,"131","","杉並区No.131遺跡","杉並区 下高井戸五丁目","[弥生時代]","包蔵地","","弥生土器",139.6228625,35.67701261,-19052.0135751415,-35813.4001144916
13115013200,13115,"132","","杉並区No.132遺跡","杉並区 久我山三丁目","[古墳時代]","包蔵地","[古墳時代]溝状遺構","土師器　土錘",139.5960597,35.68896682,-21475.0283159502,-34481.6431080164
13115013300,13115,"133","じぞうざかいせき","地蔵坂遺跡","杉並区 善福寺一丁目","[旧石器時代][縄文時代（早期）]","集落","[旧石器時代]礫群　[縄文時代]住居　炉穴","ナイフ形石器　縄文土器",139.596212,35.70998996,-21455.6113595882,-32149.3135352769
13115013500,13115,"135","むかいほうなんいせき","向方南遺跡","杉並区 方南一丁目","[縄文時代（草創期～後期）][近世]","包蔵地","[縄文時代]ピット　土坑　集石　遺物集中　流路跡　[近世]溝　井戸　土坑","縄文土器　打斧　磨斧　石鏃　石皿　磨石　石棒　石錘　土錘　土製円板　土偶　有孔土玉　垂飾　特殊磨石　礫器　土器片鐘　上製耳飾　ミニチュア土器　クルミ型土器　漆容器　有舌尖頭器　錐状石器　凹石　敲石　石盤　漆器　陶磁器　金属製品　木製品　石製品　スクレイパー　スタンプ型石器",139.6587172,35.67904268,-15806.0092286132,-35594.5409582725
13115013600,13115,"136","","杉並区No.136遺跡","杉並区 和泉四丁目","[古墳時代]","包蔵地","","土師器",139.656211,35.6790148,-16032.8727709734,-35597.2278876298
13115013700,13115,"137","","杉並区No.137遺跡","杉並区 永福一丁目","[縄文時代（中期）]","包蔵地","","縄文土器",139.6422549,35.6687075,-17298.3853845715,-36738.3736087343
13115013800,13115,"138","","杉並区No.138遺跡","杉並区 今川二丁目　 今川三丁目","[縄文時代（中期）]","包蔵地","","縄文土器",139.6066629,35.71668049,-20508.2596813126,-31409.2808283074
13115013900,13115,"139","","杉並区No.139遺跡","杉並区 井草五丁目","[古墳時代]","包蔵地","","土師器",139.6039389,35.72634862,-20752.2097492107,-30336.0965067459
