"JASID","自治体コード","遺跡番号","遺跡名","種類","所在地","時代","旧市番号","地図","経度","緯度","古墳"
14135000300,14135,"多摩区No.3","新林遺跡","集落跡","川崎市多摩区長尾7-29ほか","縄文　弥生　古墳　奈良　平安","五所塚-20",57,139.5807562,35.60596949,1
14135000400,14135,"多摩区No.4","長尾台遺跡・長尾台北遺跡","集落跡","川崎市多摩区長尾6-11","縄文　弥生　古墳　奈良　平安","五所塚-15",56,139.5806189,35.60804204,1
14135000700,14135,"多摩区No.7","大師穴","横穴墓","川崎市多摩区長尾3-10","古墳","五所塚-12",56,139.5761975,35.60925893,1
14135001400,14135,"多摩区No.14","登戸富士塚","古墳","川崎市多摩区登戸2919","古墳","宿河原-1",62,139.5682664,35.61574045,1
14135001500,14135,"多摩区No.15","生田長者穴横穴墓群","横穴墓","川崎市多摩区枡形6-1ほか","古墳","登戸-1",62,139.563181,35.61357302,1
14135001700,14135,"多摩区No.17","生田根岸古墳群","古墳","川崎市多摩区枡形4-12ほか","古墳","登戸-2",62,139.5549691,35.61761933,1
14135001800,14135,"多摩区No.18","榎戸遺跡","散布地 横穴墓","川崎市多摩区枡形4-12","縄文　弥生　古墳　奈良　平安","登戸-4",62,139.553177,35.617504,1
14135003200,14135,"多摩区No.32","","散布地","川崎市多摩区西生田4-20ほか","縄文　古墳　奈良　平安","長沢-5",68,139.5246691,35.61075344,1
14135003300,14135,"多摩区No.33","","散布地","川崎市多摩区西生田3-22ほか","縄文　弥生　古墳　奈良　平安","長沢-4",68,139.528244,35.610363,1
14135003500,14135,"多摩区No.35","","散布地","川崎市多摩区栗谷2-13","縄文　古墳　奈良　平安","長沢-3",68,139.533813,35.609261,1
14135004300,14135,"多摩区No.43","菅古墳","古墳","川崎市多摩区菅馬場4-3","古墳","西生田-4",68,139.527081,35.61753399,1
14135005900,14135,"多摩区No.59","東生田横穴墓","横穴墓","川崎市多摩区東生田2-4527ほか","古墳","登戸-7",62,139.5644148,35.61245243,1
14135006300,14135,"多摩区No.63","東生田緑地内古墳群","古墳","川崎市多摩区枡形4丁目付近","古墳","登戸-9",62,139.5531389,35.61680345,1
14137000300,14137,"麻生区No.3","細山代官山遺跡","散布地 その他の墓","川崎市麻生区細山8-16ほか","弥生　古墳　奈良　平安","細山-7",73,139.5110709,35.62193547,1
14137001600,14137,"麻生区No.16","弦巻遺跡・稲荷森遺跡","散布地","川崎市麻生区高石3-25ほか","縄文　弥生　古墳　奈良　平安","細山-5",74,139.5191183,35.61470475,1
14137003400,14137,"麻生区No.34","","散布地","川崎市麻生区万福寺395ほか","弥生　古墳","百合丘-2",74,139.5088879,35.60835869,1
14137003500,14137,"麻生区No.35","","散布地","川崎市麻生区万福寺550ほか","縄文　弥生　古墳　奈良　平安","百合丘-1",74,139.5109276,35.60824351,1
14137003800,14137,"麻生区No.38","","散布地","川崎市麻生区五力田249ほか","縄文　弥生　古墳　奈良　平安","五力田-7",80,139.4909762,35.60442287,1
14137004500,14137,"麻生区No.45","","散布地","川崎市麻生区五力田3-16ほか","縄文　弥生　古墳　奈良　平安","五力田-5",80,139.4958,35.60069666,1
14137004600,14137,"麻生区No.46","","散布地","川崎市麻生区五力田3-4ほか","縄文　弥生　古墳　奈良　平安","五力田-4",80,139.4979457,35.60020814,1
14137004800,14137,"麻生区No.48","山口台遺跡群上台遺跡","集落跡","川崎市麻生区上麻生4-41","縄文　弥生　古墳　奈良　平安","王禅寺-3",75,139.5020656,35.596593,1
14137005000,14137,"麻生区No.50","大ヶ谷戸遺跡","集落跡","川崎市麻生区上麻生5-21ほか","縄文　弥生　古墳　奈良　平安","王禅寺-5",81,139.5001773,35.59131655,1
14137005200,14137,"麻生区No.52","王禅寺白山横穴墓群","横穴墓","川崎市麻生区王禅寺1857ほか","古墳","王禅寺-2",76,139.5075783,35.5852252,1
14137005300,14137,"麻生区No.53","下麻生古墳群","古墳","川崎市麻生区下麻生1094","古墳","早野-9",76,139.508514,35.580406,1
14137005400,14137,"麻生区No.54","東柿生小学校北遺跡","散布地","川崎市麻生区王禅寺133ほか","縄文　弥生　古墳　奈良　平安","早野-10",76,139.510942,35.58036705,1
14137005500,14137,"麻生区No.55","","散布地","川崎市麻生区王禅寺24-2","縄文　古墳　奈良　平安","早野-11",77,139.5129505,35.57968295,1
14137005600,14137,"麻生区No.56","","散布地","川崎市麻生区王禅寺183ほか","縄文　弥生　古墳　奈良　平安","早野-12",77,139.5139118,35.5795573,1
14137005700,14137,"麻生区No.57","","散布地","川崎市麻生区王禅寺288","縄文　弥生　古墳　奈良　平安","早野-1",77,139.5176122,35.57915786,1
14137006000,14137,"麻生区No.60","","散布地","川崎市麻生区早野28","縄文　弥生　古墳　奈良　平安","早野-14",77,139.5140588,35.57684022,1
14137006100,14137,"麻生区No.61","東柿生小学校内遺跡","散布地","川崎市麻生区王禅寺94ほか","縄文　弥生　古墳　奈良　平安 中世","早野-13",77,139.5111038,35.57848934,1
14137006200,14137,"麻生区No.62","牛塚古墳","古墳","川崎市麻生区王禅寺56","古墳","早野-21",77,139.5124428,35.57832181,1
14137006300,14137,"麻生区No.63","狐塚古墳","古墳","川崎市麻生区王禅寺94","古墳","早野-15",77,139.5129464,35.57804074,1
14137006400,14137,"麻生区No.64","子ノ神神社古墳","古墳","川崎市麻生区早野67","古墳","早野-16",77,139.512787,35.576031,1
14137006500,14137,"麻生区No.65","","散布地","川崎市麻生区早野950ほか","縄文　弥生　古墳　奈良　平安","早野-5",77,139.5153463,35.57314025,1
14137006600,14137,"麻生区No.66","","散布地","川崎市麻生区早野932ほか","縄文　古墳　奈良　平安","早野-6",77,139.5163591,35.57213495,1
14137006700,14137,"麻生区No.67","早野横穴墓","横穴墓","川崎市麻生区早野889ほか","古墳","早野-4",77,139.5174234,35.57272137,1
14137006800,14137,"麻生区No.68","早野上ノ原遺跡","散布地","川崎市麻生区早野798ほか","旧石器　縄文　弥生　古墳 奈良　平安　中世　近世","早野-7",77,139.5190885,35.57052922,1
14137007000,14137,"麻生区No.70","","散布地","川崎市麻生区早野634ほか","縄文　弥生　古墳　奈良　平安","鴨志田-1",77,139.515312,35.5685325,1
14137007100,14137,"麻生区No.71","亀井古墳群","古墳","川崎市麻生区上麻生7-38","縄文　古墳","早野-17",77,139.5053325,35.58024354,1
14137007200,14137,"麻生区No.72","","散布地","川崎市麻生区上麻生7-41","縄文　弥生　古墳　奈良　平安 中世","早野-18",77,139.5057273,35.57897306,1
14137007300,14137,"麻生区No.73","","散布地","川崎市麻生区上麻生7-27","縄文　弥生　古墳　奈良　平安","早野-20",77,139.502813,35.58009766,1
14137007500,14137,"麻生区No.75","","散布地","川崎市麻生区片平3-10ほか","縄文　弥生　古墳　奈良　平安","片平-1",81,139.492866,35.58983765,1
14137008300,14137,"麻生区No.83","片平富士塚","古墳","川崎市麻生区片平748ほか","古墳","片平-9",85,139.4798636,35.59672551,1
14137008400,14137,"麻生区No.84","","散布地","川崎市麻生区片平1556ほか","縄文　弥生　古墳　奈良　平安","五力田-10",80,139.4812781,35.60019214,1
14137009300,14137,"麻生区No.93","栗木IV遺跡","散布地","川崎市麻生区黒川404ほか","縄文　弥生　古墳　奈良　平安","黒川-3",84,139.4733463,35.61377364,1
14137010300,14137,"麻生区No.103","","散布地","川崎市麻生区黒川1649ほか","縄文　弥生　古墳　奈良　平安","多摩-1",88,139.4530028,35.61764213,1
14137010500,14137,"麻生区No.105","","散布地 横穴墓","川崎市麻生区岡上526ほか","縄文　弥生　古墳　奈良　平安","栗ヶ谷戸-1",87,139.476636,35.57984618,1
14137010800,14137,"麻生区No.108","","散布地","川崎市麻生区岡上540","縄文　弥生　古墳　奈良　平安","栗ヶ谷戸-2",87,139.4767177,35.5778509,1
14137010900,14137,"麻生区No.109","","散布地","川崎市麻生区岡上621ほか","弥生　古墳　奈良　平安","岡上-7",87,139.4799192,35.57888406,1
14137011000,14137,"麻生区No.110","岡上丸山遺跡","散布地","川崎市麻生区岡上675-1ほか","縄文　弥生　古墳　奈良　平安","岡上-6",82,139.4829273,35.57903526,1
14137011100,14137,"麻生区No.111","","散布地","川崎市麻生区岡上184ほか","縄文　弥生　古墳　奈良　平安","岡上-3",81,139.487133,35.58172978,1
14137011200,14137,"麻生区No.112","","散布地","川崎市麻生区岡上137ほか","縄文　弥生　古墳　奈良　平安","岡上-1・2",81,139.4882145,35.58145056,1
14137011300,14137,"麻生区No.113","","散布地","川崎市麻生区岡上219ほか","縄文　弥生　古墳　奈良　平安","岡上-10",81,139.4858799,35.58104569,1
14137011400,14137,"麻生区No.114","岡上廃寺推定地、岡上栗畑遺跡","社寺跡 集落跡","川崎市麻生区岡上794","縄文　弥生　古墳　奈良　平安","岡上-4",82,139.4864464,35.57897942,1
14137011500,14137,"麻生区No.115","","散布地","川崎市麻生区岡上815","縄文　弥生　古墳　奈良　平安","岡上-5",82,139.4845924,35.57673159,1
14137012000,14137,"麻生区No.120","麻生台横穴墓群","横穴墓","川崎市麻生区上麻生7-16","古墳","早野?23",81,139.5016831,35.58290886,1
14137012600,14137,"麻生区No.126","王禅寺白山横穴募群","横穴墓","川崎市麻生区王禅寺1785","古墳","王禅寺-7",76,139.508144,35.58540689,1
14137012700,14137,"麻生区No.127","王禅寺寺口横穴墓","横穴墓","川崎市麻生区王禅寺229ほか","古墳","早野-22",76,139.5147798,35.57986989,1
14137012900,14137,"麻生区No.129","仲村横穴古墳群１区","横穴墓","川崎市麻生区上麻生7-9","古墳","早野?24",81,139.5005845,35.58265059,1
14137013000,14137,"麻生区No.130","仲村横穴古墳群２区","横穴墓","川崎市麻生区上麻生259-1","古墳","早野?25",81,139.4998206,35.58148485,1
14137015100,14137,"麻生区No.151","川崎市麻生区土地区画整理事業地内遺跡","集落跡","川崎市麻生区向原2-13ほか","縄文　古墳","後原-2",79,139.4968832,35.61588019,1
14137015300,14137,"麻生区No.153","亀井横穴墓群","横穴墓","川崎市麻生区上麻生7-23","古墳","岡上-28",82,139.5018517,35.57937167,1
14137015400,14137,"麻生区No.154","花島横穴墓群","横穴墓","川崎市麻生区下麻生990","古墳","早野-29",76,139.508514,35.580406,1
14137015700,14137,"麻生区No.157","王禅寺東古墳","古墳","川崎市麻生区王禅寺東5-141付近","古墳","早野-30",76,139.5136514,35.58104497,1
14137015900,14137,"麻生区No.159","","横穴墓","川崎市麻生区岡上1096","古墳","—",82,139.4816227,35.57749948,1
14137016200,14137,"麻生区No.162","上麻生大ヶ谷戸横穴墓群","横穴墓","川崎市麻生区上麻生5-20付近","古墳","—",81,139.4998183,35.59193505,1
